,dates,home_vs_away,venue,competition,final_score,goal_events,card_events
342,Op zondag 26 september,Speelde Heracles Almelo thuis tegen RKC Waalwijk,in Erve Asito,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Heracles Almelo wint thuis met 1-0 van RKC Waalwijk,D. Burgzorg scoorde voor Heracles in de 2e helft in minuut 59,J. Gaari van RKC Waalwijk kreeg in de 1e helft in minuut 23 een gele kaart
343,Op zondag 26 september,Speelde sc Heerenveen thuis tegen FC Twente,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Twente wint uit met 2-3 van sc Heerenveen,"R. van Wolfswinkel scoorde voor Twente in de 1e helft in minuut 10, D. Rots scoorde voor Twente in de 1e helft in minuut 42, S. van Beek scoorde voor Heerenveen in de 2e helft in minuut 66, R. Pröpper scoorde voor Twente in de 2e helft in minuut 74, H. Veerman scoorde voor Heerenveen in de 2e helft in minuut 81","I. Drešević van Heerenveen kreeg in de 1e helft in minuut 9 een gele kaart, J. Veerman van Heerenveen kreeg in de 1e helft in minuut 48 een gele kaart, A. Musaba van Heerenveen kreeg in de 2e helft in minuut 50 een gele kaart"
344,Op zondag 26 september,Speelde AZ thuis tegen Go Ahead Eagles,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",AZ wint thuis met 5-0 van Go Ahead Eagles,"J. Karlsson scoorde voor AZ in de 1e helft in minuut 4, D. de Wit scoorde voor AZ in de 1e helft in minuut 29, J. Karlsson scoorde voor AZ in de 2e helft in minuut 83, Z. Aboukhlal scoorde voor AZ in de 2e helft in minuut 86, T. Reijnders scoorde voor AZ in de 2e helft in minuut 91","D. de Wit van AZ kreeg in de 2e helft in minuut 51 een gele kaart, V. Pavlidis van AZ kreeg in de 2e helft in minuut 58 een gele kaart, W. Hahn van Go Ahead Eagles kreeg in de 2e helft in minuut 82 een gele kaart, M. Deijl van Go Ahead Eagles kreeg in de 2e helft in minuut 90 een gele kaart, G. Nauber van Go Ahead Eagles kreeg in de 2e helft in minuut 92 een gele kaart"
345,Op zondag 26 september,Speelde Sparta Rotterdam thuis tegen SC Cambuur Leeuwarden,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",SC Cambuur Leeuwarden wint uit met 0-4 van Sparta Rotterdam,"A. Bangura scoorde voor Cambuur in de 1e helft in minuut 36, I. Kallon scoorde voor Cambuur in de 2e helft in minuut 63, I. Kallon scoorde voor Cambuur in de 2e helft in minuut 74, T. Boere scoorde voor Cambuur in de 2e helft in minuut 94","A. Bangura van Cambuur kreeg in de 2e helft in minuut 59 een gele kaart, C. Mac-Intosch van Cambuur kreeg in de 2e helft in minuut 73 een gele kaart, M. Okoye van Sparta Rotterdam kreeg in de 2e helft in minuut 88 een gele kaart, M. Breij van Cambuur kreeg in de 2e helft in minuut 88 een gele kaart, A. Meijers van Sparta Rotterdam kreeg in de 2e helft in minuut 88 een rode kaart"
346,Op zaterdag 25 september,Speelde FC Utrecht thuis tegen PEC Zwolle,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Utrecht wint thuis met 5-1 van PEC Zwolle,"T. Douvikas scoorde voor Utrecht in de 1e helft in minuut 11, M. Sylla scoorde voor Utrecht in de 2e helft in minuut 59, B. Ramselaar scoorde voor Utrecht in de 2e helft in minuut 65, M. Mahi scoorde voor Utrecht in de 2e helft in minuut 66, M. Saymak scoorde voor PEC Zwolle in de 2e helft in minuut 75, W. Janssen scoorde voor Utrecht in de 2e helft in minuut 86",R. Strieder van PEC Zwolle kreeg in de 2e helft in minuut 64 een gele kaart
347,Op zaterdag 25 september,Speelde Feyenoord thuis tegen N.E.C.,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 5-3 van N.E.C.,"O. Kökçü scoorde voor Feyenoord in de 1e helft in minuut 14, L. Sinisterra scoorde voor Feyenoord in de 1e helft in minuut 17, M. Mattsson scoorde voor NEC in de 1e helft in minuut 32, C. Odenthal scoorde voor NEC in de 1e helft in minuut 44, C. Verdonk scoorde voor NEC in de 2e helft in minuut 74, G. Til scoorde voor Feyenoord in de 2e helft in minuut 80, G. Til scoorde voor Feyenoord in de 2e helft in minuut 89, C. Dessers scoorde voor Feyenoord in de 2e helft in minuut 92",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
348,Op zaterdag 25 september,Speelde Ajax thuis tegen FC Groningen,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 3-0 van FC Groningen,"E. Álvarez scoorde voor Ajax in de 1e helft in minuut 40, Antony scoorde voor Ajax in de 2e helft in minuut 57, N. Mazraoui scoorde voor Ajax in de 2e helft in minuut 81",T. Suslov van Groningen kreeg in de 1e helft in minuut 36 een gele kaart
349,Op zaterdag 25 september,Speelde Vitesse thuis tegen Fortuna Sittard,in GelreDome,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Vitesse en Fortuna Sittard hebben gelijk gespeeld met 1-1,"M. Seuntjens scoorde voor Fortuna Sittard in de 1e helft in minuut 2, N. Frederiksen scoorde voor Vitesse in de 2e helft in minuut 49","D. Huisman van Vitesse kreeg in de 1e helft in minuut 30 een gele kaart, R. Janssen van Fortuna Sittard kreeg in de 1e helft in minuut 34 een gele kaart, Deroy Duarte van Fortuna Sittard kreeg in de 1e helft in minuut 36 een gele kaart, B. Sambou van Fortuna Sittard kreeg in de 2e helft in minuut 69 een gele kaart, R. Bazoer van Vitesse kreeg in de 2e helft in minuut 76 een gele kaart"
350,Op zaterdag 25 september,Speelde Willem II thuis tegen PSV,in Koning Willem II Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Willem II wint thuis met 2-1 van PSV,"E. Zahavi scoorde voor PSV in de 1e helft in minuut 20, E. Zahavi scoorde voor PSV in de 1e helft in minuut 30, C. Nunnely scoorde voor Willem II in de 2e helft in minuut 76","G. Sağlam van Willem II kreeg in de 1e helft in minuut 43 een gele kaart, M. Götze van PSV kreeg in de 1e helft in minuut 46 een gele kaart, M. van Ginkel van PSV kreeg in de 2e helft in minuut 55 een gele kaart"
351,Op donderdag 23 september,Speelde FC Twente thuis tegen AZ,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Twente wint thuis met 3-1 van AZ,"R. van Wolfswinkel scoorde voor Twente in de 1e helft in minuut 1, D. Rots scoorde voor Twente in de 1e helft in minuut 17, J. Karlsson scoorde voor AZ in de 1e helft in minuut 44, D. Limnios scoorde voor Twente in de 2e helft in minuut 91","B. Martins Indi van AZ kreeg in de 1e helft in minuut 39 een gele kaart, D. de Wit van AZ kreeg in de 2e helft in minuut 51 een gele kaart, R. Pröpper van Twente kreeg in de 2e helft in minuut 56 een gele kaart, A. Guðmundsson van AZ kreeg in de 2e helft in minuut 84 een gele kaart, P. Hatzidiakos van AZ kreeg in de 2e helft in minuut 90 een gele kaart"
352,Op donderdag 23 september,Speelde SC Cambuur Leeuwarden thuis tegen Heracles Almelo,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",SC Cambuur Leeuwarden wint thuis met 2-1 van Heracles Almelo,"M. Breij scoorde voor Cambuur in de 1e helft in minuut 25, M. Hoedemakers scoorde voor Cambuur in de 2e helft in minuut 47, S. Bakış scoorde voor Heracles in de 2e helft in minuut 90",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
353,Op woensdag 22 september,Speelde Feyenoord thuis tegen sc Heerenveen,in Stadion Feijenoord,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Feyenoord wint thuis met 3-1 van sc Heerenveen,"G. Til scoorde voor Feyenoord in de 1e helft in minuut 12, B. Linssen scoorde voor Feyenoord in de 2e helft in minuut 60, J. Veerman scoorde voor Heerenveen in de 2e helft in minuut 82, G. Til scoorde voor Feyenoord in de 2e helft in minuut 88","T. Malacia van Feyenoord kreeg in de 1e helft in minuut 23 een gele kaart, A. Musaba van Heerenveen kreeg in de 1e helft in minuut 44 een gele kaart, M. van Ewijk van Heerenveen kreeg in de 2e helft in minuut 88 een gele kaart"
354,Op woensdag 22 september,Speelde PEC Zwolle thuis tegen Sparta Rotterdam,in MAC³PARK Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",PEC Zwolle en Sparta Rotterdam hebben gelijk gespeeld met 1-1,"V. van Crooij scoorde voor Sparta Rotterdam in de 1e helft in minuut 1, D. Redan scoorde voor PEC Zwolle in de 1e helft in minuut 8","D. Huiberts van PEC Zwolle kreeg in de 2e helft in minuut 55 een gele kaart, B. Smeets van Sparta Rotterdam kreeg in de 2e helft in minuut 81 een gele kaart, K. Goudmijn van Sparta Rotterdam kreeg in de 2e helft in minuut 88 een gele kaart"
355,Op woensdag 22 september,Speelde FC Groningen thuis tegen Vitesse,in Euroborg,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Vitesse wint uit met 0-1 van FC Groningen,Y. Gboho scoorde voor Vitesse in de 1e helft in minuut 48,"M. te Wierik van Groningen kreeg in de 1e helft in minuut 36 een rode kaart, D. van Kaam van Groningen kreeg in de 1e helft in minuut 50 een rode kaart, M. Bero van Vitesse kreeg in de 2e helft in minuut 51 een gele kaart, O. Tannane van Vitesse kreeg in de 2e helft in minuut 61 een gele kaart, J. Rasmussen van Vitesse kreeg in de 2e helft in minuut 93 een gele kaart"
356,Op woensdag 22 september,Speelde Go Ahead Eagles thuis tegen PSV,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",PSV wint uit met 1-2 van Go Ahead Eagles,"C. Gakpo scoorde voor PSV in de 1e helft in minuut 15, Iñigo Córdoba scoorde voor Go Ahead Eagles in de 2e helft in minuut 55, M. van Ginkel scoorde voor PSV in de 2e helft in minuut 86","P. Max van PSV kreeg in de 1e helft in minuut 23 een gele kaart, A. Obispo van PSV kreeg in de 2e helft in minuut 81 een gele kaart"
357,Op woensdag 22 september,Speelde N.E.C. thuis tegen FC Utrecht,in Goffertstadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Utrecht wint uit met 0-3 van N.E.C.,"B. Ramselaar scoorde voor Utrecht in de 1e helft in minuut 7, T. Douvikas scoorde voor Utrecht in de 2e helft in minuut 67, B. Ramselaar scoorde voor Utrecht in de 2e helft in minuut 79",M. van der Maarel van Utrecht kreeg in de 2e helft in minuut 66 een gele kaart
358,Op dinsdag 21 september,Speelde RKC Waalwijk thuis tegen Willem II,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Willem II wint uit met 1-2 van RKC Waalwijk,"K. Okyere Wriedt scoorde voor Willem II in de 2e helft in minuut 52, M. Köhlert scoorde voor Willem II in de 2e helft in minuut 60, M. Meulensteen scoorde voor RKC Waalwijk in de 2e helft in minuut 94","A. Büttner van RKC Waalwijk kreeg in de 1e helft in minuut 14 een gele kaart, A. Touba van RKC Waalwijk kreeg in de 2e helft in minuut 79 een gele kaart"
359,Op dinsdag 21 september,Speelde Fortuna Sittard thuis tegen Ajax,in Fortuna Sittard Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Ajax wint uit met 0-5 van Fortuna Sittard,"S. Berghuis scoorde voor Ajax in de 1e helft in minuut 11, N. Mazraoui scoorde voor Ajax in de 1e helft in minuut 27, D. Tadić scoorde voor Ajax in de 1e helft in minuut 38, M. Kudus scoorde voor Ajax in de 2e helft in minuut 72, N. Tagliafico scoorde voor Ajax in de 2e helft in minuut 77",R. Janssen van Fortuna Sittard kreeg in de 2e helft in minuut 49 een gele kaart
360,Op zondag 19 september,Speelde Heracles Almelo thuis tegen AZ,in Erve Asito,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Heracles Almelo wint thuis met 3-2 van AZ,"A. Guðmundsson scoorde voor AZ in de 1e helft in minuut 19, K. Sierhuis scoorde voor Heracles in de 1e helft in minuut 46, D. Burgzorg scoorde voor Heracles in de 2e helft in minuut 72, T. Reijnders scoorde voor AZ in de 2e helft in minuut 89, R. Vloet scoorde voor Heracles in de 2e helft in minuut 94","J. Clasie van AZ kreeg in de 1e helft in minuut 44 een rode kaart, R. Vloet van Heracles kreeg in de 2e helft in minuut 49 een gele kaart, G. Quagliata van Heracles kreeg in de 2e helft in minuut 50 een gele kaart, D. Burgzorg van Heracles kreeg in de 2e helft in minuut 50 een gele kaart, F. Midtsjø van AZ kreeg in de 2e helft in minuut 93 een gele kaart"
361,Op zondag 19 september,Speelde PSV thuis tegen Feyenoord,in Philips Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Feyenoord wint uit met 0-4 van PSV,"J. Toornstra scoorde voor Feyenoord in de 1e helft in minuut 46, B. Linssen scoorde voor Feyenoord in de 2e helft in minuut 71, J. Toornstra scoorde voor Feyenoord in de 2e helft in minuut 85, C. Dessers scoorde voor Feyenoord in de 2e helft in minuut 92","André Ramalho van PSV kreeg in de 1e helft in minuut 38 een gele kaart, M. Götze van PSV kreeg in de 1e helft in minuut 42 een gele kaart, M. Senesi van Feyenoord kreeg in de 2e helft in minuut 74 een gele kaart, O. Kökçü van Feyenoord kreeg in de 2e helft in minuut 84 een gele kaart"
362,Op zondag 19 september,Speelde Go Ahead Eagles thuis tegen PEC Zwolle,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint thuis met 1-0 van PEC Zwolle,G. Botos scoorde voor Go Ahead Eagles in de 2e helft in minuut 77,"E. Mbinga van PEC Zwolle kreeg in de 1e helft in minuut 29 een gele kaart, S. Kersten van PEC Zwolle kreeg in de 2e helft in minuut 49 een gele kaart, B. Kuipers van Go Ahead Eagles kreeg in de 2e helft in minuut 66 een gele kaart"
363,Op zaterdag 18 september,Speelde Ajax thuis tegen SC Cambuur Leeuwarden,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 9-0 van SC Cambuur Leeuwarden,"J. Timber scoorde voor Ajax in de 1e helft in minuut 16, S. Berghuis scoorde voor Ajax in de 1e helft in minuut 19, N. Mazraoui scoorde voor Ajax in de 1e helft in minuut 29, David Neres scoorde voor Ajax in de 1e helft in minuut 38, D. Tadić scoorde voor Ajax in de 2e helft in minuut 60, M. Daramy scoorde voor Ajax in de 2e helft in minuut 64, S. Haller scoorde voor Ajax in de 2e helft in minuut 67, Danilo scoorde voor Ajax in de 2e helft in minuut 76, David Neres scoorde voor Ajax in de 2e helft in minuut 84",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
364,Op zaterdag 18 september,Speelde FC Utrecht thuis tegen RKC Waalwijk,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Utrecht en RKC Waalwijk hebben gelijk gespeeld met 2-2,"Simon Gustafson scoorde voor Utrecht in de 1e helft in minuut 4, J. Odgaard scoorde voor RKC Waalwijk in de 1e helft in minuut 20, A. Büttner scoorde voor RKC Waalwijk in de 1e helft in minuut 45, T. Douvikas scoorde voor Utrecht in de 2e helft in minuut 52","W. Janssen van Utrecht kreeg in de 1e helft in minuut 27 een gele kaart, M. Kramer van RKC Waalwijk kreeg in de 2e helft in minuut 69 een gele kaart, E. Vaessen van RKC Waalwijk kreeg in de 2e helft in minuut 94 een gele kaart, L. Daneels van RKC Waalwijk kreeg in de 2e helft in minuut 96 een gele kaart"
365,Op zaterdag 18 september,Speelde Willem II thuis tegen FC Groningen,in Koning Willem II Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Willem II wint thuis met 2-1 van FC Groningen,"K. Okyere Wriedt scoorde voor Willem II in de 1e helft in minuut 5, D. Saddiki scoorde voor Willem II in de 1e helft in minuut 24, T. Suslov scoorde voor Groningen in de 2e helft in minuut 61","D. Saddiki van Willem II kreeg in de 1e helft in minuut 7 een gele kaart, B. van Hintum van Groningen kreeg in de 1e helft in minuut 19 een gele kaart, Pol Llonch van Willem II kreeg in de 2e helft in minuut 54 een gele kaart, K. Okyere Wriedt van Willem II kreeg in de 2e helft in minuut 66 een gele kaart, C. Ngonge van Groningen kreeg in de 2e helft in minuut 68 een gele kaart, C. Ngonge van Groningen kreeg in de 2e helft in minuut 95 een rode kaart"
366,Op zaterdag 18 september,Speelde sc Heerenveen thuis tegen Fortuna Sittard,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",sc Heerenveen wint thuis met 1-0 van Fortuna Sittard,H. Veerman scoorde voor Heerenveen in de 1e helft in minuut 5,"B. Sambou van Fortuna Sittard kreeg in de 2e helft in minuut 59 een gele kaart, I. Drešević van Heerenveen kreeg in de 2e helft in minuut 64 een gele kaart, S. Baghdadi van Fortuna Sittard kreeg in de 2e helft in minuut 76 een gele kaart, T. Noslin van Fortuna Sittard kreeg in de 2e helft in minuut 96 een gele kaart, Deroy Duarte van Fortuna Sittard kreeg in de 2e helft in minuut 96 een gele kaart"
367,Op vrijdag 17 september,Speelde Sparta Rotterdam thuis tegen N.E.C.,in Sparta-Stadion Het Kasteel,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Sparta Rotterdam en N.E.C. hebben gelijk gespeeld met 1-1,"J. Okita scoorde voor NEC in de 1e helft in minuut 28, S. Mijnans scoorde voor Sparta Rotterdam in de 1e helft in minuut 44","A. Akman van NEC kreeg in de 1e helft in minuut 36 een gele kaart, A. Auassar van Sparta Rotterdam kreeg in de 2e helft in minuut 62 een gele kaart, D. Abels van Sparta Rotterdam kreeg in de 2e helft in minuut 73 een gele kaart, É. Barreto van NEC kreeg in de 2e helft in minuut 79 een gele kaart, L. Schöne van NEC kreeg in de 2e helft in minuut 85 een gele kaart"
368,Op zondag 12 september,Speelde RKC Waalwijk thuis tegen Vitesse,in Mandemakers Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Vitesse wint uit met 1-2 van RKC Waalwijk,"D. Doekhi scoorde voor Vitesse in de 1e helft in minuut 8, S. Bakari scoorde voor RKC Waalwijk in de 1e helft in minuut 27, Y. Gboho scoorde voor Vitesse in de 2e helft in minuut 54",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
369,Op zondag 12 september,Speelde FC Groningen thuis tegen sc Heerenveen,in Euroborg,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Groningen en sc Heerenveen hebben gelijk gespeeld met 1-1,"T. Halilović scoorde voor Heerenveen in de 1e helft in minuut 19, C. Ngonge scoorde voor Groningen in de 2e helft in minuut 68",Beide partijen hebben geen kaarten gekregen van de scheidsrechter
370,Op zondag 12 september,Speelde N.E.C. thuis tegen Willem II,in Goffertstadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",N.E.C. en Willem II hebben gelijk gespeeld met 0-0,Beide partijen wisten niet te scoren,"J. Brondeel van Willem II kreeg in de 1e helft in minuut 15 een rode kaart, U. Jenssen van Willem II kreeg in de 2e helft in minuut 59 een gele kaart, Pol Llonch van Willem II kreeg in de 2e helft in minuut 64 een gele kaart, E. Tavşan van NEC kreeg in de 2e helft in minuut 71 een gele kaart"
371,Op zaterdag 11 september,Speelde AZ thuis tegen PSV,in AFAS Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",PSV wint uit met 0-3 van AZ,"O. Boscagli scoorde voor PSV in de 1e helft in minuut 14, Y. Vertessen scoorde voor PSV in de 2e helft in minuut 69, R. Dōan scoorde voor PSV in de 2e helft in minuut 83","M. van Ginkel van PSV kreeg in de 1e helft in minuut 20 een gele kaart, P. Hatzidiakos van AZ kreeg in de 2e helft in minuut 46 een gele kaart, F. Midtsjø van AZ kreeg in de 2e helft in minuut 63 een gele kaart, A. Obispo van PSV kreeg in de 2e helft in minuut 78 een gele kaart"
372,Op zaterdag 11 september,Speelde SC Cambuur Leeuwarden thuis tegen Go Ahead Eagles,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",SC Cambuur Leeuwarden wint thuis met 5-2 van Go Ahead Eagles,"L. Brouwers scoorde voor Go Ahead Eagles in de 1e helft in minuut 36, T. Boere scoorde voor Cambuur in de 1e helft in minuut 45, T. Boere scoorde voor Cambuur in de 2e helft in minuut 50, M. Tol scoorde voor Cambuur in de 2e helft in minuut 53, J. Jacobs scoorde voor Cambuur in de 2e helft in minuut 56, T. Kiss scoorde voor Cambuur in de 2e helft in minuut 75, Iñigo Córdoba scoorde voor Go Ahead Eagles in de 2e helft in minuut 78","I. Kallon van Cambuur kreeg in de 1e helft in minuut 12 een gele kaart, G. Nauber van Go Ahead Eagles kreeg in de 2e helft in minuut 52 een gele kaart, C. Mac-Intosch van Cambuur kreeg in de 2e helft in minuut 80 een gele kaart, M. Paulissen van Cambuur kreeg in de 2e helft in minuut 80 een gele kaart"
373,Op zaterdag 11 september,Speelde PEC Zwolle thuis tegen Ajax,in MAC³PARK Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Ajax wint uit met 0-2 van PEC Zwolle,"S. Haller scoorde voor Ajax in de 1e helft in minuut 29, S. Haller scoorde voor Ajax in de 2e helft in minuut 67","Antony van Ajax kreeg in de 1e helft in minuut 26 een gele kaart, D. Redan van PEC Zwolle kreeg in de 2e helft in minuut 49 een gele kaart, R. Gravenberch van Ajax kreeg in de 2e helft in minuut 51 een gele kaart, N. Mazraoui van Ajax kreeg in de 2e helft in minuut 78 een gele kaart"
374,Op zaterdag 11 september,Speelde FC Twente thuis tegen FC Utrecht,in De Grolsch Veste,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Twente wint thuis met 1-0 van FC Utrecht,R. Pröpper scoorde voor Twente in de 2e helft in minuut 91,"M. Hilgers van Twente kreeg in de 1e helft in minuut 12 een gele kaart, W. Janssen van Utrecht kreeg in de 2e helft in minuut 51 een gele kaart, D. Warmerdam van Utrecht kreeg in de 2e helft in minuut 74 een gele kaart, M. Sadílek van Twente kreeg in de 2e helft in minuut 81 een gele kaart, M. Sylla van Utrecht kreeg in de 2e helft in minuut 82 een gele kaart, A. Maher van Utrecht kreeg in de 2e helft in minuut 89 een gele kaart, M. Ugalde van Twente kreeg in de 2e helft in minuut 89 een gele kaart, D. Limnios van Twente kreeg in de 2e helft in minuut 89 een gele kaart"
375,Op zondag 29 augustus,Speelde sc Heerenveen thuis tegen AZ,in Abe Lenstra Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",AZ wint uit met 1-3 van sc Heerenveen,"H. Veerman scoorde voor Heerenveen in de 1e helft in minuut 11, V. Pavlidis scoorde voor AZ in de 1e helft in minuut 14, A. Witry scoorde voor AZ in de 2e helft in minuut 50, D. de Wit scoorde voor AZ in de 2e helft in minuut 88",T. Letschert van AZ kreeg in de 1e helft in minuut 38 een gele kaart
376,Op zondag 29 augustus,Speelde Ajax thuis tegen Vitesse,in Johan Cruijff Arena,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Ajax wint thuis met 5-0 van Vitesse,"Antony scoorde voor Ajax in de 1e helft in minuut 5, E. Álvarez scoorde voor Ajax in de 1e helft in minuut 31, R. Gravenberch scoorde voor Ajax in de 1e helft in minuut 43, T. Hájek scoorde voor Vitesse in de 2e helft in minuut 60, D. Klaassen scoorde voor Ajax in de 2e helft in minuut 67","R. Bazoer van Vitesse kreeg in de 1e helft in minuut 41 een gele kaart, D. Oroz van Vitesse kreeg in de 2e helft in minuut 85 een gele kaart"
377,Op zondag 29 augustus,Speelde FC Utrecht thuis tegen Feyenoord,in Stadion Galgenwaard,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",FC Utrecht wint thuis met 3-1 van Feyenoord,"L. Sinisterra scoorde voor Feyenoord in de 1e helft in minuut 45, W. Janssen scoorde voor Utrecht in de 1e helft in minuut 48, M. Sylla scoorde voor Utrecht in de 2e helft in minuut 48, Simon Gustafson scoorde voor Utrecht in de 2e helft in minuut 51","T. Malacia van Feyenoord kreeg in de 1e helft in minuut 42 een gele kaart, G. Til van Feyenoord kreeg in de 1e helft in minuut 48 een gele kaart, J. Toornstra van Feyenoord kreeg in de 2e helft in minuut 53 een gele kaart, R. Hendriks van Feyenoord kreeg in de 2e helft in minuut 58 een gele kaart, A. Maher van Utrecht kreeg in de 2e helft in minuut 75 een gele kaart"
378,Op zaterdag 28 augustus,Speelde PSV thuis tegen FC Groningen,in Philips Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",PSV wint thuis met 5-2 van FC Groningen,"C. Gakpo scoorde voor PSV in de 1e helft in minuut 7, C. Ngonge scoorde voor Groningen in de 1e helft in minuut 15, C. Ngonge scoorde voor Groningen in de 1e helft in minuut 18, M. El Hankouri scoorde voor Groningen in de 1e helft in minuut 27, André Ramalho scoorde voor PSV in de 1e helft in minuut 52, E. Zahavi scoorde voor PSV in de 2e helft in minuut 55, Bruma scoorde voor PSV in de 2e helft in minuut 97",Bruma van PSV kreeg in de 2e helft in minuut 98 een gele kaart
379,Op zaterdag 28 augustus,Speelde Willem II thuis tegen PEC Zwolle,in Koning Willem II Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Willem II wint thuis met 1-0 van PEC Zwolle,G. Sağlam scoorde voor Willem II in de 2e helft in minuut 53,Beide partijen hebben geen kaarten gekregen van de scheidsrechter
380,Op zaterdag 28 augustus,Speelde Go Ahead Eagles thuis tegen Sparta Rotterdam,in De Adelaarshorst,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",Go Ahead Eagles wint thuis met 2-0 van Sparta Rotterdam,"J. Bakker scoorde voor Go Ahead Eagles in de 1e helft in minuut 6, G. Botos scoorde voor Go Ahead Eagles in de 2e helft in minuut 60","M. Heylen van Sparta Rotterdam kreeg in de 1e helft in minuut 6 een gele kaart, V. van Crooij van Sparta Rotterdam kreeg in de 1e helft in minuut 11 een gele kaart, I. Lidberg van Go Ahead Eagles kreeg in de 1e helft in minuut 39 een gele kaart, M. Pinto van Sparta Rotterdam kreeg in de 2e helft in minuut 53 een rode kaart, D. Abels van Sparta Rotterdam kreeg in de 2e helft in minuut 72 een gele kaart"
381,Op zaterdag 28 augustus,Speelde SC Cambuur Leeuwarden thuis tegen FC Twente,in Cambuur Stadion,"De wedstrijd werd gespeeld in de 2021-22 Eredivisie, Regulier seizoen competitie",SC Cambuur Leeuwarden wint thuis met 2-0 van FC Twente,"J. Jacobs scoorde voor Cambuur in de 2e helft in minuut 66, J. Jacobs scoorde voor Cambuur in de 2e helft in minuut 91","G. Smal van Twente kreeg in de 1e helft in minuut 17 een gele kaart, M. Hoedemakers van Cambuur kreeg in de 1e helft in minuut 36 een gele kaart, R. van Wolfswinkel van Twente kreeg in de 1e helft in minuut 42 een gele kaart, L. Ilić van Twente kreeg in de 2e helft in minuut 50 een gele kaart, L. Ilić van Twente kreeg in de 2e helft in minuut 55 een gele kaart"
